工作/测试,时间,fpga时间,机械方位角,俯仰波束中心角,跟踪航迹号,CPI计数,周期计数,点迹距离,点迹方位,点迹俯仰,点迹速度,和路强度,方位强度,俯仰强度,方位差和比,俯仰差和比,波形模式,点迹多普勒标志,多普勒基底,距离基底,航向角,纵摇角,横摇角
搜索,2025-1225-17 09:17:36:400,3980623,45.2,-2.5,0,53696,438,632,46.13,-4.58,78,9411.8,3706.71,3648.45,0.39,0.39,短脉冲,有效,414.077,317.739,0,0,0
搜索,2025-1225-17 09:17:36:400,3980643,47.21,12.5,0,53699,438,488,46.77,10.09,0,5062.41,914.34,2281.48,0.17,0.46,短脉冲,无效,441.745,663.311,0,0,0
搜索,2025-1225-17 09:17:36:400,3980645,47.61,22.5,0,53701,438,458,46.66,19.14,0,4777.15,1935.21,4280.73,0.41,0.9,短脉冲,无效,194.575,458.532,0,0,0
搜索,2025-1225-17 09:17:36:400,3980646,47.61,27.5,0,53702,438,1502,48.42,24.24,0,1738.95,589.43,1632.22,0.35,0.94,长脉冲,无效,69.999,116.162,0,0,0
搜索,2025-1225-17 09:17:36:400,3980654,48.1,-2.5,0,53707,438,1502,46.66,-1.99,2.4,8802.36,5714.1,618.06,0.65,0.06,长脉冲,有效,940.004,501.996,0,0,0
搜索,2025-1225-17 09:17:36:400,3980675,50.58,22.5,0,53712,438,482,49.37,19.12,0,5928.51,3133.9,4373.88,0.54,0.74,短脉冲,无效,232.28,360.088,0,0,0
搜索,2025-1225-17 09:17:36:400,3980705,53.51,17.5,0,53722,438,518,53.23,19.27,0,9851.74,1105.18,3181.76,0.11,0.33,短脉冲,无效,848.767,715.472,0,0,0
搜索,2025-1225-17 09:17:36:500,3980737,56.58,22.5,0,53734,438,572,57.13,19.09,0,4308.09,984.92,3268.61,0.24,0.76,短脉冲,无效,288.521,410.162,0,0,0
搜索,2025-1225-17 09:17:36:500,3980738,56.67,27.5,0,53735,438,1760,56.53,24.34,0,4059.75,224.8,3928.84,0.06,0.96,长脉冲,无效,213.087,159.169,0,0,0
搜索,2025-1225-17 09:17:36:500,3980746,57.05,-2.5,0,53740,438,1988,56.33,-2.05,-2.4,17312.65,5176.57,1030.8,0.3,0.06,长脉冲,有效,911.979,2497.997,0,0,0
搜索,2025-1225-17 09:17:36:500,3980766,59.18,12.5,0,53743,438,608,58.94,16.95,0,12495.68,1219.15,11928.28,0.09,0.96,短脉冲,无效,1088.628,1177.367,0,0,0
搜索,2025-1225-17 09:17:36:500,3980767,59.39,17.5,0,53744,438,602,59.06,20.93,0,9819.87,1306.69,7091.41,0.13,0.72,短脉冲,无效,1077.297,871.199,0,0,0
搜索,2025-1225-17 09:17:36:500,3980768,59.49,22.5,0,53745,438,602,59.05,19.16,0,4908.67,880.31,4443.94,0.17,0.9,短脉冲,无效,466.947,430.136,0,0,0
搜索,2025-1225-17 09:17:36:500,3980777,60.08,-2.5,0,53751,438,1976,60.25,-2.01,-2.4,50056.7,3560.69,3317.52,0.08,0.06,长脉冲,有效,2144.79,5638.025,0,0,0
搜索,2025-1225-17 09:17:36:500,3980777,60.08,-2.5,0,53751,438,1982,60.33,-1.99,2.4,47939.4,5084.86,3364.73,0.11,0.06,长脉冲,有效,1901.666,4787.971,0,0,0
搜索,2025-1225-17 09:17:36:500,3980807,63.17,-2.5,0,53762,438,2168,63.62,-1.31,2.4,26608.31,4965.68,5340.65,0.19,0.2,长脉冲,有效,1714.314,3665.325,0,0,0
搜索,2025-1225-17 09:17:36:500,3980807,63.17,-2.5,0,53762,438,3133,64.88,-3.25,9.7,486.59,385.65,73.4,0.79,0.16,长脉冲,有效,66.875,77.73,0,0,0
搜索,2025-1225-17 09:17:36:600,3980838,66.18,-2.5,0,53773,438,2174,66.48,-1.5,2.4,57584.73,7137.87,9384.04,0.13,0.16,长脉冲,有效,2816.576,3059.526,0,0,0
搜索,2025-1225-17 09:17:36:600,3980838,66.18,-2.5,0,53773,438,3127,64.88,-3.7,9.7,2165.31,1243.22,496.54,0.57,0.24,长脉冲,有效,108.088,120.361,0,0,0
搜索,2025-1225-17 09:17:36:600,3980838,66.18,-2.5,0,53773,438,1052,65.69,-0.93,78,6648.91,1325.65,1850.39,0.2,0.28,短脉冲,有效,355.29,139.218,0,0,0
搜索,2025-1225-17 09:17:36:600,3980860,68.57,22.5,0,53778,438,302,67.93,19.27,0,5543.37,1470.51,5249.17,0.27,0.94,短脉冲,无效,367.067,143.563,0,0,0
搜索,2025-1225-17 09:17:36:600,3980890,71.5,22.5,0,53789,438,314,70.88,27.05,0,3350.07,863.58,3266.93,0.25,0.98,短脉冲,无效,393.183,271.059,0,0,0
搜索,2025-1225-17 09:17:36:600,3980900,72.1,-2.5,0,53795,438,3793,72.89,-1.13,-2.4,19020.73,6303.05,4499.72,0.33,0.24,长脉冲,有效,2142.587,2569.846,0,0,0
搜索,2025-1225-17 09:17:36:700,3980922,74.69,27.5,0,53801,438,2702,74.05,24.11,0,1005.35,267.46,745.23,0.27,0.74,长脉冲,无效,94.166,118.743,0,0,0
搜索,2025-1225-17 09:17:36:700,3980930,75.19,-2.5,0,53806,438,602,74.05,-4.68,4.8,3283.32,1624.04,1339.02,0.49,0.41,短脉冲,有效,67.422,136.454,0,0,0
搜索,2025-1225-17 09:17:36:700,3980952,77.62,22.5,0,53811,438,302,76.6,25.57,0,2681.25,1173.94,1693.36,0.44,0.63,短脉冲,无效,266.733,265.967,0,0,0
搜索,2025-1225-17 09:17:36:700,3980961,78.1,-2.5,0,53817,438,2582,78.68,-2.89,-2.4,10627.6,2566.61,955.34,0.24,0.09,长脉冲,有效,1348.628,810.386,0,0,0
搜索,2025-1225-17 09:17:36:700,3980961,78.1,-2.5,0,53817,438,2588,78.92,-2.78,2.4,11833.01,4087.61,834.14,0.35,0.06,长脉冲,有效,1418.732,1056.038,0,0,0
搜索,2025-1225-17 09:17:36:700,3980992,81.07,-2.5,0,53828,438,2582,80.38,-1.88,-2.4,15611.04,4459.7,1426.26,0.28,0.09,长脉冲,有效,1170.694,1862.181,0,0,0
搜索,2025-1225-17 09:17:36:700,3980992,81.07,-2.5,0,53828,438,2588,80.44,-1.74,2.4,16967.25,4406.91,1993.57,0.25,0.11,长脉冲,有效,1246.568,2567.271,0,0,0
搜索,2025-1225-17 09:17:36:800,3981022,84.12,-2.5,0,53839,438,5340,83.94,-3.17,78,6560.79,464.95,907.83,0.08,0.14,长脉冲,有效,953.492,718.838,0,0,0
搜索,2025-1225-17 09:17:36:800,3981069,88.41,7.5,0,53852,438,434,88.5,9.39,15.8,29312.79,1173.58,10196.26,0.05,0.35,短脉冲,有效,440.414,775.356,0,0,0
搜索,2025-1225-17 09:17:36:800,3981073,89.17,12.5,0,53853,438,434,88.72,9.65,19.5,9548.31,1746.78,5258.6,0.19,0.55,短脉冲,无效,787.731,344.556,0,0,0
搜索,2025-1225-17 09:17:36:900,3981166,98.46,17.5,0,53887,438,278,99.88,14.65,0,11560.65,7265.35,6344.63,0.63,0.55,短脉冲,无效,578.475,1118.422,0,0,0
搜索,2025-1225-17 09:17:39:900,3984156,30.02,-2.5,0,54961,439,3679,29.75,-3.08,-73.1,1732.39,190.13,210.24,0.11,0.13,长脉冲,有效,105.612,126.66,0,0,0
搜索,2025-1225-17 09:17:39:900,3984156,30.02,-2.5,0,54961,439,3841,28.53,-0.67,-4.8,1085.52,738.22,361.72,0.68,0.33,长脉冲,有效,111.821,87.617,0,0,0
搜索,2025-1225-17 09:17:39:900,3984176,32.07,12.5,0,54964,439,416,31.93,14.27,0,20286.18,1101.73,6552.77,0.05,0.33,短脉冲,无效,1724.671,1495.694,0,0,0
搜索,2025-1225-17 09:17:39:900,3984177,32.34,17.5,0,54965,439,398,33,21.8,0,15311.36,4221.47,14147.62,0.28,0.93,短脉冲,无效,1163.725,1228.358,0,0,0
搜索,2025-1225-17 09:17:40:000,3984248,38.98,-2.5,0,54994,439,1215,38.16,-5.93,78,2584,893.43,2065.81,0.35,0.8,长脉冲,有效,355.52,356.233,0,0,0
搜索,2025-1225-17 09:17:40:000,3984248,38.98,-2.5,0,54994,439,1233,39.55,-1.11,2.4,6138.75,1456.82,1473.14,0.24,0.24,长脉冲,有效,269.834,970.91,0,0,0
搜索,2025-1225-17 09:17:40:000,3984248,38.98,-2.5,0,54994,439,1214,39.33,-4.41,2.4,7977.6,1153.08,2835.64,0.14,0.36,短脉冲,有效,608.693,622.334,0,0,0
搜索,2025-1225-17 09:17:40:000,3984248,38.98,-2.5,0,54994,439,1226,39.36,-3.39,-2.4,8108.69,1293.67,1428.18,0.16,0.17,短脉冲,有效,369.548,459.709,0,0,0
搜索,2025-1225-17 09:17:40:000,3984269,41.37,17.5,0,54998,439,422,41.01,20.99,0,14516.62,2122.01,10705.09,0.14,0.74,短脉冲,无效,1102.4,1456.458,0,0,0
搜索,2025-1225-17 09:17:40:000,3984270,41.46,22.5,0,54999,439,416,40.32,19.21,0,12185.95,6045.35,11325.15,0.5,0.93,短脉冲,无效,302.291,1107.16,0,0,0
搜索,2025-1225-17 09:17:40:000,3984298,44.08,12.5,0,55008,439,1502,45.9,9.11,0,1935.59,1688.2,1434.01,0.87,0.74,长脉冲,无效,211.041,151.901,0,0,0
搜索,2025-1225-17 09:17:40:000,3984299,44.27,17.5,0,55009,439,434,43.98,15.44,0,20515.75,2355.52,7854.11,0.11,0.38,短脉冲,无效,1512.363,1087.387,0,0,0
搜索,2025-1225-17 09:17:40:100,3984332,47.42,27.5,0,55022,439,1496,48.2,24.07,0,2285.7,749.12,1814.22,0.33,0.79,长脉冲,无效,120.527,213.648,0,0,0
搜索,2025-1225-17 09:17:40:100,3984333,47.53,32.5,0,55023,439,296,48.32,29.08,0,933.9,309.99,800.33,0.33,0.85,短脉冲,无效,129.762,132.875,0,0,0
搜索,2025-1225-17 09:17:40:100,3984340,47.91,-2.5,0,55027,439,1496,49.52,-2.17,2.4,11968.51,8760.1,454.04,0.72,0.03,长脉冲,有效,1313.169,1592.753,0,0,0
搜索,2025-1225-17 09:17:40:100,3984340,47.91,-2.5,0,55027,439,302,47.46,-4.75,2.4,5326.36,973.78,2241.18,0.19,0.43,短脉冲,有效,438.237,240.644,0,0,0
搜索,2025-1225-17 09:17:40:100,3984360,49.98,12.5,0,55030,439,494,51.43,9.09,0,8077.79,5201.77,6145.09,0.65,0.76,短脉冲,无效,716.219,780.671,0,0,0
搜索,2025-1225-17 09:17:40:100,3984362,50.37,22.5,0,55032,439,476,49.1,19.95,0,4777.14,2669.18,2292.79,0.55,0.47,短脉冲,无效,215.474,382.659,0,0,0
搜索,2025-1225-17 09:17:40:100,3984371,50.98,-2.5,0,55038,439,1760,49.88,-1.29,2.4,11490.71,5433.39,2333.99,0.47,0.2,长脉冲,有效,1059.198,466.394,0,0,0
搜索,2025-1225-17 09:17:40:100,3984371,50.98,-2.5,0,55038,439,1766,51.88,-1.53,-2.4,7283.05,2768.79,1143.43,0.38,0.16,长脉冲,有效,685.292,422.133,0,0,0
搜索,2025-1225-17 09:17:40:100,3984371,50.98,-2.5,0,55038,439,2809,52.05,-3.12,2.4,1051.54,477.53,135.01,0.46,0.13,长脉冲,有效,82.341,96.547,0,0,0
搜索,2025-1225-17 09:17:40:100,3984391,53.05,12.5,0,55041,439,536,51.95,9.82,0,9675.21,4578.9,4933.1,0.47,0.5,短脉冲,无效,839.938,1192.968,0,0,0
搜索,2025-1225-17 09:17:40:100,3984393,53.43,22.5,0,55043,439,518,52.72,19.26,0,5302.28,1560.5,5003.31,0.3,0.94,短脉冲,无效,388.096,493.361,0,0,0
搜索,2025-1225-17 09:17:40:200,3984422,56.22,17.5,0,55053,439,554,55.79,14.12,0,13172.63,2328.43,9715.74,0.17,0.74,短脉冲,无效,1321.234,1068.527,0,0,0
搜索,2025-1225-17 09:17:40:200,3984423,56.31,22.5,0,55054,439,338,54.59,19.07,0,1817.03,1499.25,1540.09,0.82,0.85,短脉冲,无效,116.866,220.773,0,0,0
搜索,2025-1225-17 09:17:40:200,3984423,56.31,22.5,0,55054,439,554,55.44,19.1,0,7694.35,2833.49,6682.34,0.36,0.87,短脉冲,无效,554.27,474.63,0,0,0
搜索,2025-1225-17 09:17:40:200,3984424,56.41,27.5,0,55055,439,1760,56.51,24.09,0,5121.3,221.53,4414.28,0.05,0.87,长脉冲,无效,252.482,133.979,0,0,0
搜索,2025-1225-17 09:17:40:200,3984432,56.89,-2.5,0,55060,439,1976,56.62,-2.93,2.4,29094.41,3150.67,2807.7,0.11,0.09,长脉冲,有效,1772.131,2960.263,0,0,0
搜索,2025-1225-17 09:17:40:200,3984452,58.92,12.5,0,55063,439,602,59.61,15.81,0,11138.71,3209.5,7690.24,0.28,0.69,短脉冲,无效,979.38,1330.72,0,0,0
搜索,2025-1225-17 09:17:40:200,3984452,58.92,12.5,0,55063,439,632,59.35,9.16,0,10183.83,1831.21,9236.91,0.17,0.91,短脉冲,无效,1056.535,1374.97,0,0,0
搜索,2025-1225-17 09:17:40:200,3984454,59.31,22.5,0,55065,439,608,58.56,24.73,0,3818.75,1202.75,1623.11,0.31,0.43,短脉冲,无效,354.605,442.354,0,0,0
搜索,2025-1225-17 09:17:40:200,3984463,59.9,-2.5,0,55071,439,1976,60.59,-1.85,-2.4,34438.38,9933.81,3310.74,0.28,0.09,长脉冲,有效,2083.574,3273.883,0,0,0
搜索,2025-1225-17 09:17:40:200,3984485,62.39,22.5,0,55076,439,632,61.06,26.87,0,2697.56,1596.05,2529.93,0.6,0.94,短脉冲,无效,200.466,189.056,0,0,0
搜索,2025-1225-17 09:17:40:200,3984485,62.39,22.5,0,55076,439,860,63.75,26.17,0,1249.74,742.9,975.61,0.6,0.79,短脉冲,无效,114.351,159.136,0,0,0
搜索,2025-1225-17 09:17:40:200,3984494,62.99,-2.5,0,55082,439,4153,64.44,-4.66,78,577.75,372.65,232.48,0.65,0.41,长脉冲,有效,93.087,56.019,0,0,0
搜索,2025-1225-17 09:17:40:200,3984514,65.05,12.5,0,55085,439,1064,66.35,9.21,0,1574.7,894.22,1459.53,0.57,0.93,短脉冲,无效,180.732,159.7,0,0,0
搜索,2025-1225-17 09:17:40:200,3984525,65.9,-2.5,0,55093,439,2174,66.29,-1.39,2.4,51145.4,8328.5,9368.06,0.16,0.19,长脉冲,有效,2705.495,4807.844,0,0,0
搜索,2025-1225-17 09:17:40:300,3984544,68.01,12.5,0,55096,439,302,67.86,11.04,0,12169.63,709.84,3332.01,0.06,0.27,短脉冲,无效,975.788,469.945,0,0,0
搜索,2025-1225-17 09:17:40:300,3984555,68.86,-2.5,0,55104,439,2420,67.94,-1.56,2.4,13630.79,5336.74,2065.67,0.39,0.16,长脉冲,有效,1003.147,1648.33,0,0,0
搜索,2025-1225-17 09:17:40:300,3984577,71.32,22.5,0,55109,439,302,70.63,19.06,0,3920.88,1120.01,3247.4,0.28,0.83,短脉冲,无效,199.721,306.899,0,0,0
搜索,2025-1225-17 09:17:40:300,3984586,71.92,-2.5,0,55115,439,3793,72.64,-1.73,-2.4,26809.39,8087.51,3190.2,0.3,0.13,长脉冲,有效,2098.389,2673.189,0,0,0
搜索,2025-1225-17 09:17:40:400,3984647,77.9,-2.5,0,55137,439,2588,78.58,-2.81,2.4,6830.17,1935.9,518.58,0.28,0.08,长脉冲,有效,860.04,793.63,0,0,0
搜索,2025-1225-17 09:17:40:400,3984678,80.86,-2.5,0,55148,439,2582,80.56,-2.63,-2.4,22452.81,2728.78,999.54,0.13,0.05,长脉冲,有效,1306.746,3510.305,0,0,0
搜索,2025-1225-17 09:17:40:400,3984678,80.86,-2.5,0,55148,439,2588,80.35,-2.18,2.4,23936.95,4975.26,847.42,0.2,0.03,长脉冲,有效,1288.07,3301.984,0,0,0
搜索,2025-1225-17 09:17:40:400,3984709,83.92,-2.5,0,55159,439,5346,84.15,-2.94,78,5667.71,552.05,554.23,0.09,0.09,长脉冲,有效,805.345,620.34,0,0,0
搜索,2025-1225-17 09:17:40:400,3984709,83.92,-2.5,0,55159,439,206,83.69,-2.72,78,4897.4,444.73,294.19,0.09,0.06,短脉冲,有效,371.665,162.018,0,0,0
搜索,2025-1225-17 09:17:40:500,3984740,86.89,-2.5,0,55170,439,1215,85,-0.01,-7.3,463.35,444.95,224.87,0.96,0.49,长脉冲,有效,58.547,49.646,0,0,0
搜索,2025-1225-17 09:17:40:500,3984755,88.25,7.5,0,55172,439,488,88.79,9.18,14.6,60130.3,13603.82,18188.36,0.22,0.3,短脉冲,有效,616.753,1807.489,0,0,0
搜索,2025-1225-17 09:17:40:600,3984853,98.27,22.5,0,55208,439,278,99.66,19.88,0,9953.23,6079.51,4947.84,0.61,0.5,短脉冲,无效,237.503,1020.197,0,0,0
搜索,2025-1225-17 09:17:40:600,3984854,98.37,27.5,0,55209,439,278,100.21,24.18,0,6738.1,5978.38,6173.68,0.88,0.91,短脉冲,无效,408.959,465.079,0,0,0
搜索,2025-1225-17 09:17:40:600,3984914,104.15,17.5,0,55229,439,350,105.07,14.06,0,5230.45,2038.25,4336.87,0.39,0.83,短脉冲,无效,694.111,551.008,0,0,0
搜索,2025-1225-17 09:17:40:700,3984955,107.84,-2.5,0,55247,439,1251,107.55,-2.62,78,220.55,25.95,9.38,0.11,0.05,长脉冲,有效,32.423,35.087,0,0,0
搜索,2025-1225-17 09:17:43:600,3987862,31.88,12.5,0,56284,440,398,32.48,15.3,0,20405.29,5116.64,11509.23,0.25,0.57,短脉冲,无效,1915.593,1250.182,0,0,0
搜索,2025-1225-17 09:17:43:600,3987863,32.08,17.5,0,56285,440,404,32.95,20.79,0,17418.25,6413.71,11968.22,0.36,0.69,短脉冲,无效,1367.882,1767.759,0,0,0
搜索,2025-1225-17 09:17:43:600,3987864,32.18,22.5,0,56286,440,368,33.17,19.43,0,11242.12,4707.26,11118.49,0.43,0.99,短脉冲,无效,345.932,1302.352,0,0,0
搜索,2025-1225-17 09:17:43:600,3987873,32.75,-2.5,0,56292,440,6569,31.02,-5.85,78,1096.14,915.78,981.27,0.83,0.9,长脉冲,有效,156.678,178.325,0,0,0
搜索,2025-1225-17 09:17:43:700,3987904,35.72,-2.5,0,56303,440,1215,36.41,-0.51,2.4,3305.31,952.08,1215.04,0.28,0.36,长脉冲,有效,407.494,461.019,0,0,0
搜索,2025-1225-17 09:17:43:700,3987923,37.8,12.5,0,56306,440,458,38.19,16.02,0,24001.74,3944.23,17879.51,0.16,0.74,短脉冲,无效,1744.296,3082.55,0,0,0
搜索,2025-1225-17 09:17:43:700,3987934,38.71,-2.5,0,56314,440,111,37.49,-4.36,-2.4,1262.59,671.15,437.49,0.54,0.35,短脉冲,有效,94.07,35.317,0,0,0
搜索,2025-1225-17 09:17:43:700,3987956,41.2,22.5,0,56319,440,416,40.05,19.06,0,14613.26,7263.13,11999.47,0.5,0.82,短脉冲,无效,523.211,1013.272,0,0,0
搜索,2025-1225-17 09:17:43:700,3988018,47.22,27.5,0,56342,440,1502,48.11,24.31,0,2411.06,900.51,1562.73,0.38,0.65,长脉冲,无效,110.92,165.972,0,0,0
搜索,2025-1225-17 09:17:43:800,3988019,47.31,32.5,0,56343,440,290,45.88,29.13,0,972.77,629.38,868.95,0.65,0.9,短脉冲,无效,123.637,116.247,0,0,0
搜索,2025-1225-17 09:17:43:800,3988048,50.2,22.5,0,56352,440,482,49.2,19.14,0,7132.95,3060.32,6389.9,0.43,0.9,短脉冲,无效,376.68,580.852,0,0,0
搜索,2025-1225-17 09:17:43:800,3988109,56.06,17.5,0,56373,440,548,55.46,16.45,0,10700.27,2654.89,2160.13,0.25,0.2,短脉冲,无效,1058.266,916.836,0,0,0
搜索,2025-1225-17 09:17:43:800,3988110,56.15,22.5,0,56374,440,338,54.66,19.33,0,2165.36,1469.21,2088.34,0.68,0.96,短脉冲,无效,119.355,245.436,0,0,0
搜索,2025-1225-17 09:17:43:800,3988110,56.15,22.5,0,56374,440,548,55.18,19.08,0,6541.87,2701.5,5019.78,0.41,0.77,短脉冲,无效,440.565,594.895,0,0,0
搜索,2025-1225-17 09:17:43:800,3988111,56.24,27.5,0,56375,440,1760,56.42,24.13,0,6040.82,465.93,4410.18,0.08,0.72,长脉冲,无效,269.684,165.211,0,0,0
搜索,2025-1225-17 09:17:43:800,3988119,56.71,-2.5,0,56380,440,1976,55.62,-3.03,2.4,19917.03,9399.86,2261.22,0.47,0.11,长脉冲,有效,1457.771,2317.255,0,0,0
搜索,2025-1225-17 09:17:43:900,3988138,58.73,12.5,0,56383,440,1052,59.68,9.19,0,2735.38,1103.25,2514.5,0.41,0.91,短脉冲,无效,321.185,276.759,0,0,0
搜索,2025-1225-17 09:17:43:900,3988150,59.62,-2.5,0,56391,440,1970,60.96,-2.12,-2.4,34381.61,20151.66,1615.83,0.58,0.05,长脉冲,有效,1767.553,4956.531,0,0,0
搜索,2025-1225-17 09:17:43:900,3988150,59.62,-2.5,0,56391,440,1976,60.76,-1.98,2.4,48173.74,23563.17,3458.79,0.49,0.08,长脉冲,有效,2486.551,3461.153,0,0,0
搜索,2025-1225-17 09:17:43:900,3988180,62.7,-2.5,0,56402,440,2168,64.58,-1.57,2.4,23997.34,22062.81,3558.52,0.91,0.14,长脉冲,有效,1282.001,3408.162,0,0,0
搜索,2025-1225-17 09:17:43:900,3988200,64.86,12.5,0,56405,440,1064,66.45,9.19,0,1644.8,1188.68,1146.05,0.72,0.69,短脉冲,无效,213.664,173.639,0,0,0
搜索,2025-1225-17 09:17:43:900,3988211,65.73,-2.5,0,56413,440,3151,65.12,-3.51,-15.8,887.68,223.52,174.43,0.25,0.19,长脉冲,有效,102.149,110.522,0,0,0
搜索,2025-1225-17 09:17:44:000,3988231,67.74,12.5,0,56416,440,320,67.36,14.76,0,13360.27,2081.97,5768.61,0.16,0.43,短脉冲,无效,1195.8,594.022,0,0,0
搜索,2025-1225-17 09:17:44:000,3988232,68.03,17.5,0,56417,440,308,69.29,21.96,0,9578.06,5206.62,9170.25,0.55,0.96,短脉冲,无效,1218.952,280.268,0,0,0
搜索,2025-1225-17 09:17:44:000,3988242,68.69,-2.5,0,56424,440,4692,69.75,-2,2.4,1320.61,597.76,89.88,0.46,0.06,长脉冲,有效,187.048,64.509,0,0,0
搜索,2025-1225-17 09:17:44:000,3988262,71.06,17.5,0,56428,440,308,72.44,19.35,0,9284.82,5627.92,3146.59,0.6,0.35,短脉冲,无效,1206.014,452.952,0,0,0
搜索,2025-1225-17 09:17:44:000,3988272,71.65,-2.5,0,56435,440,1880,72.83,-0.94,2.4,11468.98,5839.14,3149.23,0.5,0.27,长脉冲,有效,1889.491,1728.567,0,0,0
搜索,2025-1225-17 09:17:44:000,3988272,71.65,-2.5,0,56435,440,4278,73.02,-2.88,2.4,4686.7,2809.08,410.94,0.6,0.09,长脉冲,有效,675.046,737.355,0,0,0
搜索,2025-1225-17 09:17:44:000,3988280,72.25,2.5,0,56436,440,3793,73.99,-0.6,2.4,3807.59,3109.65,3736.8,0.82,0.98,长脉冲,有效,341.581,325.785,0,0,0
搜索,2025-1225-17 09:17:44:000,3988295,74.24,27.5,0,56441,440,2702,73.69,24.35,0,1000.04,226.62,971.86,0.22,0.98,长脉冲,无效,136.945,93.77,0,0,0
搜索,2025-1225-17 09:17:44:100,3988334,77.72,-2.5,0,56457,440,2588,79.66,-2.5,-2.4,6643.01,6469.21,136.37,0.98,0.02,长脉冲,有效,756.777,812.802,0,0,0
搜索,2025-1225-17 09:17:44:100,3988353,79.72,12.5,0,56460,440,105,80.66,9.07,0,872.37,346.89,734.36,0.39,0.83,短脉冲,无效,116.009,76.785,0,0,0
搜索,2025-1225-17 09:17:44:100,3988365,80.58,-2.5,0,56468,440,2588,79.43,-1.53,2.4,11654.26,5796.56,1830.8,0.5,0.16,长脉冲,有效,1657.392,1847.817,0,0,0
搜索,2025-1225-17 09:17:44:100,3988386,83.07,22.5,0,56473,440,446,82.24,26.63,0,1437.28,501.89,1276.58,0.35,0.88,短脉冲,无效,200.054,167.009,0,0,0
