工作/测试,时间,fpga时间,机械方位角,俯仰波束中心角,跟踪航迹号,CPI计数,周期计数,点迹距离,点迹方位,点迹俯仰,点迹速度,和路强度,方位强度,俯仰强度,方位差和比,俯仰差和比,波形模式,点迹多普勒标志,多普勒基底,距离基底,航向角,纵摇角,横摇角
搜索,2025-1225-15 07:54:48:000,576888,38.37,2.5,0,11522,108,410,37.2,3.93,-2.4,4250.55,2157.53,1063.51,0.5,0.25,短脉冲,有效,344.115,307.835,0,0,0
搜索,2025-1225-15 07:54:48:000,576888,38.37,2.5,0,11522,108,1208,37.38,-0.65,2.4,10539.58,4435.42,6724.89,0.43,0.65,短脉冲,有效,587.167,297.776,0,0,0
搜索,2025-1225-15 07:54:48:000,576900,39.87,12.5,0,11524,108,416,40.86,16.25,0,18257.34,7635.53,14588.03,0.43,0.8,短脉冲,无效,1633.294,2088.756,0,0,0
搜索,2025-1225-15 07:54:48:000,576900,39.87,12.5,0,11524,108,446,39.09,10.98,0,13440.7,4418.13,3801.16,0.33,0.28,短脉冲,无效,722.166,1701.224,0,0,0
搜索,2025-1225-15 07:54:48:000,576901,40.16,17.5,0,11525,108,416,40.55,16.76,0,28233.21,4639.2,4177.97,0.16,0.14,短脉冲,无效,1901.052,1928.661,0,0,0
搜索,2025-1225-15 07:54:48:000,576902,40.25,22.5,0,11526,108,416,41.17,19.13,0,19181.22,7450.35,17059.53,0.39,0.88,短脉冲,无效,1153.825,1256.074,0,0,0
搜索,2025-1225-15 07:54:48:000,576911,40.75,-2.5,0,11532,108,416,40.24,-1.98,78,17227.92,3613.8,1245.09,0.2,0.08,短脉冲,有效,614.923,1356.087,0,0,0
搜索,2025-1225-15 07:54:48:000,576919,41.34,2.5,0,11533,108,416,40.98,1.8,2.4,9435.88,1383.03,1337.06,0.14,0.14,短脉冲,有效,738.65,262.448,0,0,0
搜索,2025-1225-15 07:54:48:000,576942,43.76,-2.5,0,11543,108,1484,42.42,-2.11,-2.4,9442.71,5626.33,453.05,0.6,0.05,长脉冲,有效,767.52,1556.214,0,0,0
搜索,2025-1225-15 07:54:48:000,576942,43.76,-2.5,0,11543,108,1490,42.47,-2,2.4,9408.39,5345.76,650.19,0.57,0.06,长脉冲,有效,818.599,1239.602,0,0,0
搜索,2025-1225-15 07:54:48:000,576942,43.76,-2.5,0,11543,108,1514,43.47,-2.14,-2.4,9288.71,1096.36,402.21,0.11,0.05,长脉冲,有效,660.581,1339.494,0,0,0
搜索,2025-1225-15 07:54:48:000,576962,45.77,12.5,0,11546,108,476,46.19,16.19,0,11971.36,2113.96,9404.14,0.17,0.79,短脉冲,无效,854.156,927.231,0,0,0
搜索,2025-1225-15 07:54:48:000,576963,46.05,17.5,0,11547,108,476,46.61,19.31,0,10690.08,2474.72,3541.34,0.24,0.33,短脉冲,无效,869.84,1168.146,0,0,0
搜索,2025-1225-15 07:54:48:000,576966,46.33,32.5,0,11550,108,290,44.88,35.78,0,1403.64,918.08,961.27,0.66,0.68,短脉冲,无效,143.133,131.635,0,0,0
搜索,2025-1225-15 07:54:48:000,576973,46.72,-2.5,0,11554,108,3559,45.82,-1.99,7.3,2833.11,1081.64,198.73,0.38,0.06,长脉冲,有效,93.657,86.13,0,0,0
搜索,2025-1225-15 07:54:48:000,576994,49.19,22.5,0,11559,108,476,48.7,19.11,0,5745.13,1156.55,5039.18,0.2,0.88,短脉冲,无效,276.118,319.074,0,0,0
搜索,2025-1225-15 07:54:48:000,576995,49.29,27.5,0,11560,108,512,48.47,24.07,0,1349.44,463.13,1052.97,0.35,0.79,短脉冲,无效,117.315,186.307,0,0,0
搜索,2025-1225-15 07:54:48:000,577025,52.17,22.5,0,11570,108,500,50.96,19.06,0,4500.1,2382.33,3622.9,0.54,0.8,短脉冲,无效,279.827,496.955,0,0,0
搜索,2025-1225-15 07:54:48:000,577065,55.72,-2.5,0,11587,108,1754,55.97,-1.85,2.4,34979.17,3699.18,3388.12,0.11,0.09,长脉冲,有效,1569.823,3693.768,0,0,0
搜索,2025-1225-15 07:54:48:000,577065,55.72,-2.5,0,11587,108,1760,55.53,-1.81,-2.4,36797.9,2845.18,3846.39,0.08,0.11,长脉冲,有效,1717.5,3536.571,0,0,0
搜索,2025-1225-15 07:54:48:000,577065,55.72,-2.5,0,11587,108,129,57.02,-2.36,-76.8,3731.93,2101.78,13.95,0.57,0,短脉冲,有效,265.557,289.41,0,0,0
搜索,2025-1225-15 07:54:48:000,577117,61.17,22.5,0,11603,108,638,60.96,26.86,0,3477.56,290.47,3257.05,0.08,0.93,短脉冲,无效,262.844,370.592,0,0,0
搜索,2025-1225-15 07:54:48:000,577188,67.71,-2.5,0,11631,108,338,68.68,-3.8,78,7768.44,3196.5,1921.75,0.41,0.25,短脉冲,有效,285.435,494.525,0,0,0
搜索,2025-1225-15 07:54:48:000,577188,67.71,-2.5,0,11631,108,350,68.14,-4.14,78,11800.6,2140.19,3625.44,0.19,0.31,短脉冲,有效,384.182,694.391,0,0,0
搜索,2025-1225-15 07:54:48:000,577188,67.71,-2.5,0,11631,108,836,67.46,-5.2,78,12872.46,1272.31,6635.36,0.09,0.52,短脉冲,有效,428.798,1056.005,0,0,0
搜索,2025-1225-15 07:54:48:000,577249,73.69,-2.5,0,11653,108,3049,74.09,-0.35,-2.4,17379.48,2903.42,7015.93,0.17,0.41,长脉冲,有效,1463.94,2620.672,0,0,0
搜索,2025-1225-15 07:54:48:000,577249,73.69,-2.5,0,11653,108,734,73.43,-4.9,78,4201.92,442.04,1897.38,0.11,0.46,短脉冲,有效,269.344,284.653,0,0,0
搜索,2025-1225-15 07:54:48:000,577249,73.69,-2.5,0,11653,108,722,73.64,-4.24,-76.8,3206.08,56.65,1042.78,0.02,0.33,短脉冲,有效,239.333,123.22,0,0,0
搜索,2025-1225-15 07:54:48:000,577272,76.26,27.5,0,11659,108,3793,76.02,24.32,0,3435.22,334.91,3304.11,0.09,0.96,长脉冲,无效,185.827,106.088,0,0,0
搜索,2025-1225-15 07:54:48:000,577311,79.72,-2.5,0,11675,108,2582,80.78,-1.43,2.4,14116.33,6369.92,2478.48,0.46,0.17,长脉冲,有效,1250.546,2188.151,0,0,0
搜索,2025-1225-15 07:54:48:000,577311,79.72,-2.5,0,11675,108,716,79.46,-1.64,-76.8,5692.59,584.43,774.49,0.11,0.14,短脉冲,有效,252.081,399.325,0,0,0
搜索,2025-1225-15 07:54:48:000,577330,81.75,12.5,0,11678,108,452,80.61,9.42,0,16252.8,8031.64,9945.09,0.49,0.61,短脉冲,无效,1970.973,848.382,0,0,0
搜索,2025-1225-15 07:54:48:000,577333,82.25,27.5,0,11681,108,752,83.29,28.86,9.7,8986.17,3975.54,2125.71,0.44,0.24,短脉冲,无效,748.03,320.632,0,0,0
搜索,2025-1225-15 07:54:48:000,577341,82.65,-2.5,0,11686,108,3793,84.49,-3.75,2.4,826.9,734.96,196.6,0.88,0.24,长脉冲,有效,136.72,110.745,0,0,0
搜索,2025-1225-15 07:54:48:000,577341,82.65,-2.5,0,11686,108,5340,81.87,-3.18,-2.4,3471.93,1133.35,485.14,0.33,0.14,长脉冲,有效,558.7,415.408,0,0,0
搜索,2025-1225-15 07:54:48:000,577341,82.65,-2.5,0,11686,108,224,83.73,-2.52,-76.8,7062.78,3254.02,174.72,0.46,0.03,短脉冲,有效,477.89,479.222,0,0,0
搜索,2025-1225-15 07:54:48:000,577364,85.23,27.5,0,11692,108,752,83.78,28.46,9.7,7304.8,4778.69,1148.31,0.66,0.16,短脉冲,无效,606.851,345.42,0,0,0
搜索,2025-1225-15 07:54:48:000,577372,85.71,-2.5,0,11697,108,5340,84.89,-3.16,-2.4,3062.65,1058.55,413.74,0.35,0.14,长脉冲,有效,427.354,425.165,0,0,0
搜索,2025-1225-15 07:54:48:000,577472,95.21,2.5,0,11731,108,1370,95.51,1.98,-3.6,242.05,30.08,26.49,0.13,0.11,长脉冲,有效,21.325,25.898,0,0,0
搜索,2025-1225-15 07:54:48:000,577510,99.05,7.5,0,11743,108,1772,99.79,5.01,-4.8,273.4,84.21,127.77,0.31,0.47,长脉冲,有效,43.181,40.496,0,0,0
搜索,2025-1225-15 07:54:48:000,577518,100.19,27.5,0,11747,108,278,101.66,24.06,0,3336.5,2183.81,2692.33,0.66,0.8,短脉冲,无效,156.558,437.333,0,0,0
搜索,2025-1225-15 07:54:48:000,580525,33.62,12.5,0,12822,109,404,32.24,9.08,0,9947.35,6171.92,8449.22,0.61,0.85,短脉冲,无效,425.77,1188.377,0,0,0
搜索,2025-1225-15 07:54:48:000,580526,33.9,17.5,0,12823,109,380,34.99,19.18,0,13751.42,6390.11,4174.65,0.47,0.3,短脉冲,无效,707.046,1912.976,0,0,0
搜索,2025-1225-15 07:54:48:000,580527,34,22.5,0,12824,109,398,33.59,19.1,0,9265.4,1552.75,8060.51,0.17,0.87,短脉冲,无效,391.468,1206.214,0,0,0
搜索,2025-1225-15 07:54:48:000,580529,34.18,32.5,0,12826,109,398,32.59,36.35,0,5125.62,3797.79,4223.4,0.74,0.82,短脉冲,无效,242.163,601.339,0,0,0
搜索,2025-1225-15 07:54:48:000,580556,36.61,12.5,0,12833,109,464,37.59,13.24,0,13047.76,5435.89,1489.89,0.41,0.11,短脉冲,无效,977.319,1490.933,0,0,0
搜索,2025-1225-15 07:54:48:000,580567,37.49,-2.5,0,12841,109,1256,36.13,-0.24,78,12387.07,7489.91,5325.01,0.6,0.43,短脉冲,有效,349.296,1026.636,0,0,0
搜索,2025-1225-15 07:54:48:000,580575,38.09,2.5,0,12842,109,1202,37.9,-0.73,-2.4,9681.82,747.87,6446.33,0.08,0.66,短脉冲,有效,699.184,405.465,0,0,0
搜索,2025-1225-15 07:54:48:000,580575,38.09,2.5,0,12842,109,1208,37.82,0.09,2.4,9342,1001.09,4207.66,0.11,0.46,短脉冲,有效,691.325,411.379,0,0,0
搜索,2025-1225-15 07:54:48:000,580587,39.68,12.5,0,12844,109,446,38.63,9.4,0,8960.11,4054.82,5552.33,0.46,0.61,短脉冲,无效,499.989,1042.215,0,0,0
搜索,2025-1225-15 07:54:48:000,580588,39.88,17.5,0,12845,109,416,39.95,20.25,0,15133.91,463.52,8344.27,0.03,0.55,短脉冲,无效,898.324,1665.086,0,0,0
搜索,2025-1225-15 07:54:48:000,580589,39.99,22.5,0,12846,109,416,40.68,19.07,0,11804.97,3379.71,9203.83,0.28,0.79,短脉冲,无效,424.265,1327.273,0,0,0
搜索,2025-1225-15 07:54:48:000,580679,48.62,12.5,0,12877,109,476,47.74,9.06,0,12520.63,4633.29,10327.5,0.36,0.82,短脉冲,无效,1087.013,1149.376,0,0,0
搜索,2025-1225-15 07:54:48:000,580681,48.9,22.5,0,12879,109,302,47.61,20.26,0,1012.19,577.89,421.29,0.57,0.41,短脉冲,无效,114.198,135.951,0,0,0
搜索,2025-1225-15 07:54:48:000,580681,48.9,22.5,0,12879,109,476,48.48,19.23,0,10312.65,1767.77,9630.98,0.17,0.93,短脉冲,无效,605.643,571.256,0,0,0
搜索,2025-1225-15 07:54:48:000,580710,51.6,12.5,0,12888,109,524,51.23,9.08,0,10656.13,1579.28,8195.18,0.14,0.77,短脉冲,无效,750.203,926.6,0,0,0
搜索,2025-1225-15 07:54:48:000,580712,51.98,22.5,0,12890,109,524,51.91,19.91,0,4869.82,129.76,2383.11,0.03,0.49,短脉冲,无效,273.14,324.234,0,0,0
搜索,2025-1225-15 07:54:48:000,580721,52.57,-2.5,0,12896,109,111,52.27,-0.8,78,4612.62,559.22,1402.11,0.13,0.3,短脉冲,有效,217.604,87.896,0,0,0
搜索,2025-1225-15 07:54:48:000,580721,52.57,-2.5,0,12896,109,344,53.89,-5.81,78,5116.32,2952.89,3580.92,0.58,0.69,短脉冲,有效,397.438,305.282,0,0,0
搜索,2025-1225-15 07:54:48:000,580771,57.56,12.5,0,12910,109,602,58.12,16.09,0,17438.6,4079.76,13288.9,0.24,0.76,短脉冲,无效,1492.538,1201.362,0,0,0
搜索,2025-1225-15 07:54:48:000,580773,57.94,22.5,0,12912,109,566,57.27,19.29,0,4518.02,1264.97,4307.09,0.28,0.96,短脉冲,无效,347.457,567.093,0,0,0
搜索,2025-1225-15 07:54:48:000,580773,57.94,22.5,0,12912,109,602,58.47,19.15,0,7286.76,1620.95,5213,0.22,0.71,短脉冲,无效,683.563,500.466,0,0,0
搜索,2025-1225-15 07:54:48:000,580774,58.04,27.5,0,12913,109,1760,57.09,24.47,0,1173.18,471.75,699.93,0.41,0.6,长脉冲,无效,125.115,136.208,0,0,0
搜索,2025-1225-15 07:54:48:000,580782,58.43,-2.5,0,12918,109,1976,57.56,-2.71,-2.4,45711.83,16843.22,2646.69,0.36,0.06,长脉冲,有效,1712.569,4017.616,0,0,0
搜索,2025-1225-15 07:54:48:000,580782,58.43,-2.5,0,12918,109,1982,57.72,-2.58,2.4,42011.62,12398.97,1446.53,0.3,0.03,长脉冲,有效,1601.859,5685.414,0,0,0
搜索,2025-1225-15 07:54:48:000,580782,58.43,-2.5,0,12918,109,1028,58.29,-4.73,78,24237.28,1286.83,10083.89,0.05,0.41,短脉冲,有效,402.544,1634.494,0,0,0
搜索,2025-1225-15 07:54:48:000,580797,59.81,7.5,0,12920,109,314,60.04,4.12,-3.6,893.52,85.85,790.21,0.09,0.88,短脉冲,有效,37.197,37.997,0,0,0
搜索,2025-1225-15 07:54:48:000,580813,61.51,-2.5,0,12929,109,1970,59.79,-3.55,2.4,5577.86,4627.53,1136.81,0.83,0.2,长脉冲,有效,517.645,506.8,0,0,0
搜索,2025-1225-15 07:54:48:000,580813,61.51,-2.5,0,12929,109,1976,59.93,-3.51,-2.4,7246.08,5336.01,1418.22,0.74,0.19,长脉冲,有效,616.211,356.138,0,0,0
搜索,2025-1225-15 07:54:48:000,580844,64.57,-2.5,0,12940,109,2174,63.4,-3.47,-2.4,28628.52,14605.75,5398.49,0.5,0.19,长脉冲,有效,1229.003,2623.014,0,0,0
搜索,2025-1225-15 07:54:48:000,580844,64.57,-2.5,0,12940,109,4159,66.32,-1.78,-2.4,612.91,501.03,67.11,0.82,0.11,长脉冲,有效,101.499,82.889,0,0,0
搜索,2025-1225-15 07:54:48:000,580859,65.82,7.5,0,12942,109,500,64.6,4.1,-2.4,1088.22,581.77,820.76,0.54,0.76,短脉冲,有效,42.639,72.004,0,0,0
搜索,2025-1225-15 07:54:48:000,580874,67.44,-2.5,0,12951,109,1358,66.56,-3.18,2.4,2196.2,820.17,304.22,0.38,0.14,长脉冲,有效,159.362,159.913,0,0,0
搜索,2025-1225-15 07:54:48:000,580874,67.44,-2.5,0,12951,109,2174,66.18,-3.9,2.4,12852.23,7123.85,3401.41,0.55,0.27,长脉冲,有效,993.264,153.32,0,0,0
搜索,2025-1225-15 07:54:48:000,580874,67.44,-2.5,0,12951,109,2180,67.19,-3.33,-2.4,9403.52,949.78,1552.62,0.09,0.16,长脉冲,有效,728.825,162.924,0,0,0
搜索,2025-1225-15 07:54:48:000,580874,67.44,-2.5,0,12951,109,4692,68.75,-0.63,2.4,970.02,552.36,331.6,0.57,0.35,长脉冲,有效,80.891,36.223,0,0,0
搜索,2025-1225-15 07:54:48:000,580874,67.44,-2.5,0,12951,109,4704,67.38,-0.76,-2.4,398.55,8.8,125.31,0.02,0.31,长脉冲,有效,51.197,42.27,0,0,0
搜索,2025-1225-15 07:54:48:000,580905,70.44,-2.5,0,12962,109,320,69.78,-5.04,78,9519.33,2602.87,4567.59,0.27,0.47,短脉冲,有效,427.922,605.071,0,0,0
搜索,2025-1225-15 07:54:48:000,580936,73.54,-2.5,0,12973,109,2702,72.66,-0.88,-2.4,14817,5491.15,4280.06,0.38,0.28,长脉冲,有效,663.787,2469.452,0,0,0
搜索,2025-1225-15 07:54:48:000,580936,73.54,-2.5,0,12973,109,3055,73.04,-1.67,-2.4,22531.6,4638.43,2917.63,0.2,0.13,长脉冲,有效,1116.658,2782.693,0,0,0
搜索,2025-1225-15 07:54:48:000,580936,73.54,-2.5,0,12973,109,3049,73.4,-0.87,2.4,21521.54,1143.29,6241.04,0.05,0.28,长脉冲,有效,1166.987,3193.44,0,0,0
搜索,2025-1225-15 07:54:48:000,580966,76.58,-2.5,0,12984,109,4081,78.38,-2.9,-2.4,8185.79,6987.36,749.77,0.85,0.09,长脉冲,有效,338.837,744.59,0,0,0
搜索,2025-1225-15 07:54:48:000,580997,79.44,-2.5,0,12995,109,2588,80.38,-1.81,-2.4,12913.69,5138.34,1343,0.39,0.11,长脉冲,有效,1392.126,1690.334,0,0,0
搜索,2025-1225-15 07:54:48:000,581028,82.45,-2.5,0,13006,109,5340,83.32,-2.96,-2.4,2971.83,1091.94,303.49,0.36,0.09,长脉冲,有效,450.812,396.846,0,0,0
搜索,2025-1225-15 07:54:48:000,581028,82.45,-2.5,0,13006,109,224,80.78,-2.25,-76.8,4724.73,3735.44,114.1,0.79,0.03,短脉冲,有效,327.117,250.122,0,0,0
搜索,2025-1225-15 07:54:48:000,581050,85.04,27.5,0,13012,109,788,83.83,26.83,9.7,3880.92,2062.56,530.75,0.54,0.14,短脉冲,无效,290.61,224.813,0,0,0
搜索,2025-1225-15 07:54:48:000,581059,85.53,-2.5,0,13017,109,1221,85.04,-3.46,2.4,1536.35,307.35,288.57,0.2,0.19,长脉冲,有效,75.145,253.224,0,0,0
搜索,2025-1225-15 07:54:48:000,581059,85.53,-2.5,0,13017,109,2282,83.66,-3.44,2.4,1607.41,1519.02,294.7,0.94,0.19,长脉冲,有效,166.087,250.323,0,0,0
搜索,2025-1225-15 07:54:48:000,581120,91.4,-2.5,0,13039,109,1556,91.75,-1.21,-3.6,276.32,40.72,60.78,0.14,0.22,长脉冲,有效,39.396,44.009,0,0,0
搜索,2025-1225-15 07:54:48:000,581120,91.4,-2.5,0,13039,109,428,92.29,-4.04,78,7240.87,2721.92,2092.51,0.38,0.28,短脉冲,有效,318.746,592.277,0,0,0
搜索,2025-1225-15 07:54:48:000,581158,95.04,2.5,0,13051,109,1358,94.74,2.4,-3.6,281.6,33.84,10.63,0.13,0.03,长脉冲,有效,25.904,36.866,0,0,0
搜索,2025-1225-15 07:54:48:000,581234,102.78,22.5,0,13077,109,350,103.61,24.96,0,7381.31,2566.97,3534.48,0.35,0.47,短脉冲,无效,767.761,675.042,0,0,0
搜索,2025-1225-15 07:54:48:000,584184,30.93,27.5,0,14134,110,392,31.9,25.6,0,5015.09,2065.9,1766.63,0.41,0.35,短脉冲,无效,243.769,602.789,0,0,0
搜索,2025-1225-15 07:54:48:000,584185,31.03,32.5,0,14135,110,386,30.07,35.37,0,4787.28,1948.51,2782.29,0.41,0.58,短脉冲,无效,396.973,595.962,0,0,0
搜索,2025-1225-15 07:54:48:000,584212,33.43,12.5,0,14142,110,410,31.81,15.63,0,14102.97,10725.5,9114.21,0.76,0.65,短脉冲,无效,1132.966,1518.499,0,0,0
搜索,2025-1225-15 07:54:48:000,584216,33.91,32.5,0,14146,110,404,34.59,36.87,0,6434.44,1839.89,6034.26,0.28,0.94,短脉冲,无效,451.563,589.954,0,0,0
搜索,2025-1225-15 07:54:48:000,584223,34.29,-2.5,0,14150,110,428,33.38,0.96,78,12790.01,4949.41,9314.43,0.39,0.72,短脉冲,有效,481.309,742.618,0,0,0
搜索,2025-1225-15 07:54:48:000,584230,34.86,2.5,0,14151,110,1184,35.2,-0.28,-2.4,6880.5,992.2,3679.14,0.14,0.54,短脉冲,有效,442.796,318.091,0,0,0
搜索,2025-1225-15 07:54:48:000,584230,34.86,2.5,0,14151,110,1202,35.03,-0.83,2.4,9729.17,708.05,6918.45,0.08,0.71,短脉冲,有效,680.641,251.704,0,0,0
搜索,2025-1225-15 07:54:48:000,584261,37.9,2.5,0,14162,110,1208,38.09,0.56,-2.4,6739.22,538.93,2420.94,0.08,0.36,短脉冲,有效,561.351,398.873,0,0,0
搜索,2025-1225-15 07:54:48:000,584273,39.4,12.5,0,14164,110,440,37.63,10.86,0,11533.35,9965.52,3514.4,0.87,0.3,短脉冲,无效,804.448,1430.634,0,0,0
搜索,2025-1225-15 07:54:48:000,584275,39.81,22.5,0,14166,110,416,40.49,19.06,0,10514.83,2995.9,8595.92,0.28,0.82,短脉冲,无效,375.608,1392.539,0,0,0
搜索,2025-1225-15 07:54:48:000,584275,39.81,22.5,0,14166,110,446,38.99,19.13,0,8696.79,2988.08,6370.94,0.35,0.74,短脉冲,无效,303.955,1239.106,0,0,0
搜索,2025-1225-15 07:54:48:000,584284,40.4,-2.5,0,14172,110,1154,39.91,-2.43,78,4487.4,895.63,42.44,0.2,0.02,短脉冲,有效,272.072,338.845,0,0,0
搜索,2025-1225-15 07:54:48:000,584305,42.77,17.5,0,14176,110,428,43.74,19.52,0,12686.54,5220.48,4777.21,0.41,0.38,短脉冲,无效,1253.559,1223.279,0,0,0
搜索,2025-1225-15 07:54:48:000,584315,43.34,-2.5,0,14183,110,1502,43.8,-1.73,-2.4,9477.49,1822.8,1126.28,0.19,0.13,长脉冲,有效,898.587,517.298,0,0,0
搜索,2025-1225-15 07:54:48:000,584335,45.43,12.5,0,14186,110,458,46.43,9.26,0,9380.97,3983.73,8853.79,0.43,0.94,短脉冲,无效,911.412,995.833,0,0,0
搜索,2025-1225-15 07:54:48:000,584335,45.43,12.5,0,14186,110,650,45.27,9.07,0,17258.28,1056.11,14318.99,0.06,0.83,短脉冲,无效,1807.46,1322.721,0,0,0
搜索,2025-1225-15 07:54:48:000,584336,45.63,17.5,0,14187,110,458,46.58,20.78,0,11125.38,4487.36,7616.52,0.41,0.68,短脉冲,无效,572.59,1088.964,0,0,0
搜索,2025-1225-15 07:54:48:000,584336,45.72,22.5,0,14188,110,656,46.23,26.56,0,2276.24,485.32,1986.69,0.22,0.87,短脉冲,无效,314.585,298.362,0,0,0
搜索,2025-1225-15 07:54:48:000,584346,46.29,-2.5,0,14194,110,3667,47.43,-1.05,19.5,717.51,349.74,180.82,0.49,0.25,长脉冲,有效,77.919,93.923,0,0,0
搜索,2025-1225-15 07:54:48:000,584346,46.29,-2.5,0,14194,110,278,46.46,-5.74,-2.4,5905.33,428.92,3961.3,0.08,0.68,短脉冲,有效,353.88,447.432,0,0,0
搜索,2025-1225-15 07:54:48:000,584376,49.3,-2.5,0,14205,110,494,49.84,-1.63,-76.8,7583.04,1701.13,1050.52,0.22,0.14,短脉冲,有效,514.278,393.137,0,0,0
搜索,2025-1225-15 07:54:48:000,584396,51.39,12.5,0,14208,110,530,50.43,14.66,0,9130.27,3712.14,3729.75,0.41,0.41,短脉冲,无效,742.823,1035.816,0,0,0
搜索,2025-1225-15 07:54:48:000,584407,52.28,-2.5,0,14216,110,135,53.88,-1.9,78,2991.65,2174.24,261.77,0.72,0.09,短脉冲,有效,208.559,54.096,0,0,0
